GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coverage/ObligationManager,it.cnr.iit.ucs.obligationmanager,ObligationManager,180,0,12,0,46,0,12,0,6,0
coverage/PEPDht,it.cnr.iit.pepdht.track,STATUS,114,0,0,0,12,0,1,0,1,0
coverage/PEPDht,it.cnr.iit.pepdht.track,AccessTracker,243,0,34,0,57,0,27,0,10,0
coverage/PEPDht,it.cnr.iit.pepdht.track,MessageInfo,124,0,6,0,37,0,17,0,14,0
coverage/PEPDht,it.cnr.iit.pepdht,PEPDht.new DHTClient.MessageHandler() {...},68,0,8,0,20,0,7,0,3,0
coverage/PEPDht,it.cnr.iit.pepdht,PEPDht.NewThread,10,0,0,0,5,0,2,0,2,0
coverage/PEPDht,it.cnr.iit.pepdht,PEPDht,361,0,30,0,110,0,34,0,19,0
coverage/PIPReader,it.cnr.iit.ucs.pipreader,PIPReader,52,264,3,11,14,52,6,14,4,9
coverage/PIPTime,it.cnr.iit.ucs.piptime,PIPTime,79,0,2,0,21,0,9,0,8,0
coverage/PIPWebSocket,it.cnr.iit.ucs.pipwebsocket.json,DomoLight,45,0,0,0,19,0,13,0,13,0
coverage/PIPWebSocket,it.cnr.iit.ucs.pipwebsocket.json,DomoLightRequestPostTopicUuid,28,0,0,0,12,0,6,0,6,0
coverage/PIPWebSocket,it.cnr.iit.ucs.pipwebsocket,PIPWebSocketLamps,72,0,2,0,21,0,9,0,8,0
coverage/PolicyAdministrationPoint,it.cnr.iit.ucs.pap,PolicyAdministrationPoint,29,181,5,9,6,39,5,11,0,9
coverage/PolicyDecisionPoint,it.cnr.iit.ucs.pdp,FileSystemPolicyFinderModule,373,5,39,0,91,1,29,1,9,1
coverage/PolicyDecisionPoint,it.cnr.iit.ucs.pdp,PolicyDecisionPoint,386,186,31,11,78,46,26,13,6,12
coverage/PolicyDecisionPoint,it.cnr.iit.ucs.pdp,InputStreamBasedPolicyFinderModule,74,165,11,8,14,47,9,9,0,8
coverage/SessionManager,it.cnr.iit.ucs.sessionmanager,OnGoingAttribute,136,78,8,6,29,30,15,13,11,9
coverage/SessionManager,it.cnr.iit.ucs.sessionmanager,Session,74,128,4,4,25,31,14,11,11,10
coverage/SessionManager,it.cnr.iit.ucs.sessionmanager,SessionManager,251,722,20,44,58,173,19,36,4,19
